"Guid","Subcategory","EventID","SourceUrl","Fetched"
"0CCE9217-69AE-11D9-BED3-505054503030","Account Lockout","4625","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-account-lockout","2026-09-04"
"0CCE922F-69AE-11D9-BED3-505054503030","Audit Policy Change","4715","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-audit-policy-change","2026-09-04"
"0CCE922F-69AE-11D9-BED3-505054503030","Audit Policy Change","4719","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-audit-policy-change","2026-09-04"
"0CCE922F-69AE-11D9-BED3-505054503030","Audit Policy Change","4817","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-audit-policy-change","2026-09-04"
"0CCE922F-69AE-11D9-BED3-505054503030","Audit Policy Change","4902","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-audit-policy-change","2026-09-04"
"0CCE922F-69AE-11D9-BED3-505054503030","Audit Policy Change","4904","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-audit-policy-change","2026-09-04"
"0CCE922F-69AE-11D9-BED3-505054503030","Audit Policy Change","4905","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-audit-policy-change","2026-09-04"
"0CCE922F-69AE-11D9-BED3-505054503030","Audit Policy Change","4906","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-audit-policy-change","2026-09-04"
"0CCE922F-69AE-11D9-BED3-505054503030","Audit Policy Change","4907","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-audit-policy-change","2026-09-04"
"0CCE922F-69AE-11D9-BED3-505054503030","Audit Policy Change","4908","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-audit-policy-change","2026-09-04"
"0CCE922F-69AE-11D9-BED3-505054503030","Audit Policy Change","4912","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-audit-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4670","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4706","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4707","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4713","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4716","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4717","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4718","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4739","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4864","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4865","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4866","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9230-69AE-11D9-BED3-505054503030","Authentication Policy Change","4867","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-authentication-policy-change","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4868","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4869","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4870","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4871","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4872","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4873","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4874","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4875","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4876","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4877","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
